Audience Segment,Creative Size,Creative Messaging,Location,App/URL,Exchange,Device Make,Impressions,Clicks,Viewable Impressions,Measurable Impressions,Total Conversions,Gross Cost,CPA,CTR,CPC,CPM,CVR,vCPM,Viewability
Online Behavior>United States>Autos and Vehicles>Brands>Mazda,320x50,Subscribe Today - 10% Discount,"New York City, New York",cbsnews.com,TripleLift,Smartphone,134847,450,104268,128470,125,"$6,040.60",$48.32,0.33%,$13.42,$44.80,27.78%,$57.93,81.16136063
US>Brand Propensities>Travel>Booking.com Buyer Propensity,320x50,Subscribe Today - 10% Discount,"Miami-Ft. Lauderdale, Florida",fandom.com,Google Ad Manager,Smartphone,22259,120,12405,17609,14,"$1,611.34",$115.10,0.54%,$13.43,$72.39,11.67%,$129.89,70.44693055
OnAudience>Interest>Arts & Entertainment>Movies,300x250,Subscribe Today - 10% Discount,"Grand Rapids-Kalamazoo, Michigan",realtor.com,BidSwitch,Smartphone,30714,111,12531,28461,9,"$1,503.48",$167.05,0.36%,$13.54,$48.95,8.11%,$119.98,44.02867081
OnAudience>Intent>Auto>Vehicle Parts & Accessories,320x50,Subscribe Today - 10% Discount,"Grand Rapids-Kalamazoo, Michigan",ebay.com,BidSwitch,Smartphone,37269,106,11667,33260,6,"$1,453.08",$242.18,0.28%,$13.71,$38.99,5.66%,$124.55,35.07817198
US>Brand Propensities>Travel>Sandals Resorts Buyer Propensity,300x50,Sign up Today - 10% Off,"Miami-Ft. Lauderdale, Florida",autotrader.com,Google Ad Manager,Smartphone,53561,147,37063,51480,14,"$2,039.36",$145.67,0.27%,$13.87,$38.08,9.52%,$55.02,71.99494949
Mobile Audience>Lifestyle>Arts Enthusiasts,300x250,10% Discount - Ends 6/1,"Miami-Ft. Lauderdale, Florida",weather.com,PubMatic,Smartphone,40519,111,6105,26283,10,"$1,582.41",$158.24,0.27%,$14.26,$39.05,9.01%,$259.20,23.22794202
US>Brand Propensities>Media and Entertainment>Sony Network Entertainment International Buyer Propensity,300x250,10% Discount - Ends 6/1,"West Palm Beach-Ft. Pierce, Florida",mail.aol.com,PubMatic,Windows PC,32173,104,24427,30084,11,"$1,498.29",$136.21,0.32%,$14.41,$46.57,10.58%,$61.34,81.19598458
Travel and Tourism>Interest (Affinity)>Destinations>Latin America,320x50,10% Discount - Ends 6/1,"Orlando-Daytona Beach, Florida",factable.com,Magnite DV+,Smartphone,31243,100,16326,25991,21,"$1,452.59",$69.17,0.32%,$14.53,$46.49,21.00%,$88.97,62.81405102
US>Multibuyer Behaviors>Club>Continuity Buyers,320x50,Subscribe Today - 10% Discount,"Miami-Ft. Lauderdale, Florida",zdnet.com,Index Exchange,Smartphone,12692,105,9048,12326,14,"$1,541.72",$110.12,0.83%,$14.68,$121.47,13.33%,$170.39,73.40580886
Real Estate>Property Type> Residential,300x250,10% Discount - Ends 6/1,"Peoria-Bloomington, Illinois",tomsguide.com,Google Ad Manager,Apple PC,11043,125,4547,9666,13,"$1,858.13",$142.93,1.13%,$14.87,$168.26,10.40%,$408.65,47.04117525
US>Reach>Sociodemographic>Homeowner Status>Renter,320x50,Sign up Today - 10% Off,"Knoxville, Tennessee",foxnews.com,Google Ad Manager,Smartphone,70134,169,48862,66739,14,"$2,514.87",$179.63,0.24%,$14.88,$35.86,8.28%,$51.47,73.21356328
US>Brand Propensities>Apparel>Shoebuy.com Buyer Propensity,320x50,10% Discount - Ends 6/1,"Tampa-St Petersburg (Sarasota), Florida",realtor.com,BidSwitch,Smartphone,43666,133,18513,40506,18,"$1,980.39",$110.02,0.30%,$14.89,$45.35,13.53%,$106.97,45.7043401
US>Reach>Propensity Models>Finance>Credit>Debit Card>Store Credit Card User,320x50,Subscribe Today - 10% Discount,"Chicago, Illinois",realtor.com,Magnite DV+,Smartphone,51515,144,18304,44891,14,"$2,160.31",$154.31,0.28%,$15.00,$41.94,9.72%,$118.02,40.77432002
OnAudience>Intent>Software>Video Game Software,300x250,Sign up Today - 10% Off,"San Francisco, California",activebeat.com,Google Ad Manager,Windows PC,76439,100,58269,66924,8,"$1,524.81",$190.60,0.13%,$15.25,$19.95,8.00%,$26.17,87.06741976
Online Behavior>United States>Food and Drink>Restaurants>Dining Guides,320x50,Sign up Now - 10% Off,"Chicago, Illinois",cnn.com,Index Exchange,Smartphone,116926,321,69132,111957,22,"$4,918.04",$223.55,0.27%,$15.32,$42.06,6.85%,$71.14,61.74870709
US Financial>Likely In Market Timing>Not At All Likely to Purchase>First Home/Residence In The Next Year (Financial),300x250,Sign up Today - 10% Off,"Chicago, Illinois",signupgenius.com,Magnite DV+,Windows PC,35335,120,22566,30685,15,"$1,866.35",$124.42,0.34%,$15.55,$52.82,12.50%,$82.71,73.54081799
Online Behavior>United States>Finance>Banking>Money Transfer and Wire Services,320x50,Subscribe Today - 10% Discount,"New York City, New York",ebay.com,Google Ad Manager,Smartphone,221720,499,35178,196583,69,"$7,890.22",$114.35,0.23%,$15.81,$35.59,13.83%,$224.29,17.89473149
US>Reach>Propensity Models>Household Consumer Expenditures>Furniture,320x50,Subscribe Today - 10% Discount,"Louisville, Kentucky",microsoftcasualgames.com,PubMatic,Smartphone,68114,174,569,2059,15,"$2,753.71",$183.58,0.26%,$15.83,$40.43,8.62%,"$4,839.56",27.63477416
US>B2B>B2B Decision Maker Responsibilities>Purchasing Utilities,320x50,Sign up Today - 10% Off,"Grand Rapids-Kalamazoo, Michigan",accuweather.com,OpenX,Smartphone,49936,126,25461,44751,13,"$2,025.78",$155.83,0.25%,$16.08,$40.57,10.32%,$79.56,56.89481799
Online Behavior>United States>People and Society>Family and Relationships>Parents,320x50,Subscribe Today - 10% Discount,"West Palm Beach-Ft. Pierce, Florida",cbsnews.com,BidSwitch,Smartphone,115544,412,79182,109463,56,"$6,721.09",$120.02,0.36%,$16.31,$58.17,13.59%,$84.88,72.33677133
US>Demo>Age>65+,320x50,Sign up Now - 10% Off,"Nashville, Tennessee",msn.com,Google Ad Manager,Smartphone,58738,165,33538,47535,14,"$2,801.58",$200.11,0.28%,$16.98,$47.70,8.48%,$83.53,70.55432839
OnAudience>Interest>Pets,320x50,Sign up Today - 10% Off,"West Palm Beach-Ft. Pierce, Florida",soaps.sheknows.com,Google Ad Manager,Smartphone,20572,90,2226,16510,10,"$1,529.31",$152.93,0.44%,$16.99,$74.34,11.11%,$687.02,13.48273773
OnAudience>Interest>News,320x50,10% Discount - Ends 6/1,"Grand Rapids-Kalamazoo, Michigan",outlook.live.com,Google Ad Manager,Smartphone,42833,120,37438,40447,9,"$2,040.93",$226.77,0.28%,$17.01,$47.65,7.50%,$54.52,92.5606349
Online Behavior>United States>Intent>Travel>Flights,300x50,Sign up Now - 10% Off,"Miami-Ft. Lauderdale, Florida",nypost.com,Xandr - Monetize SSP (AppNexus),Smartphone,140359,352,76130,133578,26,"$6,094.67",$234.41,0.25%,$17.31,$43.42,7.39%,$80.06,56.992918
US>Brand Propensities>Travel>MGM Resorts International Buyer Propensity,300x50,Subscribe Today - 10% Discount,"New York City, New York",w3schools.com,BidSwitch,Smartphone,32400,87,5152,30383,9,"$1,522.35",$169.15,0.27%,$17.50,$46.99,10.34%,$295.49,16.95685087
Mobile - US>Food>Restaurant>Style>Desserts,300x250,Sign up Today - 10% Off,"New York City, New York",dictionary.com,BidSwitch,Apple PC,18028,89,1851,14926,24,"$1,572.24",$65.51,0.49%,$17.67,$87.21,26.97%,$849.40,12.40117915
Travel and Tourism>In-Market,300x250,Sign up Now - 10% Off,"Chicago, Illinois",realtor.com,Google Ad Manager,Apple PC,48892,110,32060,45251,9,"$1,978.61",$219.85,0.22%,$17.99,$40.47,8.18%,$61.72,70.849263
US Financial>Likely Credit Card>Behavior>Used for Personal Purposes,300x250,10% Discount - Ends 6/1,"Memphis, Tennessee",slickdeals.net,Google Ad Manager,Smartphone,37554,92,13128,27596,8,"$1,737.84",$217.23,0.24%,$18.89,$46.28,8.70%,$132.38,47.5721119
Mobile - US>Gamers>Online>Users,320x50,Subscribe Today - 10% Discount,"Rockford, Illinois",the-sun.com,Magnite DV+,Smartphone,16372,90,4731,15332,9,"$1,704.51",$189.39,0.55%,$18.94,$104.11,10.00%,$360.29,30.85703105
US>Interest Propensities>Insurance>Humana,300x50,Sign up Today - 10% Off,"Ft. Myers-Naples, Florida",mlb.com,Kargo,Smartphone,12459,84,7290,11731,14,"$1,593.01",$113.79,0.67%,$18.96,$127.86,16.67%,$218.52,62.14303981
OnAudience>Interest>News>National News,300x50,Sign up Now - 10% Off,"Los Angeles, California",greedyfinance.com,Google Ad Manager,Smartphone,20537,84,15587,19288,10,"$1,609.88",$160.99,0.41%,$19.17,$78.39,11.90%,$103.28,80.81190377
Lotame>Online Shoppers>Online Shoppers,300x250,Sign up Today - 10% Off,"Grand Rapids-Kalamazoo, Michigan",sciencealert.com,BidSwitch,Smartphone,13347,80,8357,11461,10,"$1,543.66",$154.37,0.60%,$19.30,$115.66,12.50%,$184.71,72.91684844
Media and Entertainment>Sports and Recreational Activities>Interest (Affinity)>Olympics>Winter Olympics,320x50,10% Discount - Ends 6/1,"Toledo, Ohio",outlook.live.com,Google Ad Manager,Smartphone,21229,80,18073,19655,10,"$1,550.08",$155.01,0.38%,$19.38,$73.02,12.50%,$85.77,91.95115747
Online Behavior>United States>The Changing Consumer>Active Facebook Users,300x250,Sign up Today - 10% Off,"San Francisco, California",finance.yahoo.com,Google Ad Manager,Windows PC,127090,299,30178,113438,24,"$5,808.91",$242.04,0.24%,$19.43,$45.71,8.03%,$192.49,26.60307833
US>Interest Propensities>Insurance>Aetna Group,300x250,10% Discount - Ends 6/1,"Nashville, Tennessee",foxbusiness.com,Google Ad Manager,Apple PC,12436,84,7055,11497,9,"$1,720.87",$191.21,0.68%,$20.49,$138.38,10.71%,$243.92,61.36383404
OnAudience>Interest>Arts & Entertainment>Television,300x250,10% Discount - Ends 6/1,"Augusta, Georgia",forbes.com,Google Ad Manager,Windows PC,22800,79,8298,21161,24,"$1,620.17",$67.51,0.35%,$20.51,$71.06,30.38%,$195.25,39.21364775
US>Interest Propensities>Activities and Interests>B2B Job Search,320x50,Sign up Today - 10% Off,"Memphis, Tennessee",mlb.com,BidSwitch,Smartphone,32714,69,3756,30764,15,"$1,506.62",$100.44,0.21%,$21.84,$46.05,21.74%,$401.12,12.20907554
OnAudience>Intent>Education,320x50,Subscribe Today - 10% Discount,"Flint-Saginaw-Bay City, Michigan",icy-veins.com,PubMatic,Smartphone,19344,68,2353,18261,10,"$1,500.72",$150.07,0.35%,$22.07,$77.58,14.71%,$637.79,12.88538415
US>B2B>B2B Decision Maker Responsibilities>Sales,300x250,Sign up Today - 10% Off,"Tampa-St Petersburg (Sarasota), Florida",foxnews.com,Google Ad Manager,Windows PC,19951,81,10511,18132,15,"$1,801.15",$120.08,0.41%,$22.24,$90.28,18.52%,$171.36,57.96933598
"Lotame>Style, Fashion & Clothing>Clothing Shoppers",300x250,Subscribe Today - 10% Discount,"Nashville, Tennessee",mail.yahoo.com,Index Exchange,Smartphone,19464,68,11814,17040,9,"$1,540.47",$171.16,0.35%,$22.65,$79.14,13.24%,$130.39,69.33098592
Media and Entertainment>Television (TV)>Viewership>TV Genres>Drama,300x250,Sign up Today - 10% Off,"Orlando-Daytona Beach, Florida",semana.com,OpenX,Windows PC,16325,78,9558,15426,21,"$1,814.10",$86.39,0.48%,$23.26,$111.12,26.92%,$189.80,61.96032672
OnAudience>Intent>Baby & Toddler,300x250,Sign up Now - 10% Off,"Memphis, Tennessee",topclassactions.com,Index Exchange,Windows PC,16628,70,7974,15969,13,"$1,665.97",$128.15,0.42%,$23.80,$100.19,18.57%,$208.92,49.9342476
Tech Enthusiasts,320x50,Sign up Today - 10% Off,"Miami-Ft. Lauderdale, Florida",nypost.com,Google Ad Manager,Smartphone,29092,75,16986,26606,15,"$1,801.06",$120.07,0.26%,$24.01,$61.91,20.00%,$106.03,63.84274224
Mobile - US>Sports>UFC Fans,320x50,Sign up Today - 10% Off,"Peoria-Bloomington, Illinois",ign.com,Google Ad Manager,Smartphone,22180,60,4835,19291,9,"$1,441.63",$160.18,0.27%,$24.03,$65.00,15.00%,$298.17,25.06350111
US>Brand Propensities>Home and Household Goods>Pottery Barn Kids Buyer Propensity,300x250,Sign up Now - 10% Off,"Miami-Ft. Lauderdale, Florida",investmentguru.com,OpenX,Windows PC,31813,84,14149,21281,13,"$2,060.99",$158.54,0.26%,$24.54,$64.78,15.48%,$145.66,66.48653729
US>AUTO>Auto Car Purchase Next Year>Yes,320x50,Subscribe Today - 10% Discount,"Grand Rapids-Kalamazoo, Michigan",whatismyipaddress.com,Index Exchange,Smartphone,31359,66,18348,25950,24,"$1,623.61",$67.65,0.21%,$24.60,$51.78,36.36%,$88.49,70.70520231
US>Multibuyer Behaviors>Paid with Credit Card,300x250,Subscribe Today - 10% Discount,"New York City, New York",baseball.fantasysports.yahoo.com,BidSwitch,Apple PC,12770,84,6224,11110,21,"$2,087.51",$99.41,0.66%,$24.85,$163.47,25.00%,$335.40,56.02160216
US>Reach>Propensity Models>Young Adult Clothing Shoppers,320x50,Sign up Now - 10% Off,"New York City, New York",sciencesensei.com,OpenX,Smartphone,20885,99,9901,16266,15,"$2,496.79",$166.45,0.47%,$25.22,$119.55,15.15%,$252.18,60.86929792
Media and Entertainment>Audio and Video Streaming>Streaming Video>Interest (Affinity)>Streaming Services,300x250,Sign up Today - 10% Off,"Orlando-Daytona Beach, Florida",yahoo.com,Google Ad Manager,Apple PC,17049,84,191,15564,15,"$2,144.49",$142.97,0.49%,$25.53,$125.78,17.86%,"$11,227.69",1.227190953
Online Behavior>United States>Validated Demographic>Gender and Age Combined>Males 25-44,300x250,Sign up Now - 10% Off,"Nashville, Tennessee",cars.com,Google Ad Manager,Apple PC,47394,184,22712,41918,24,"$4,701.50",$195.90,0.39%,$25.55,$99.20,13.04%,$207.00,54.18197433
US>Reach>Propensity Models>Real Estate>Monthly Mortgage Payment>$800-$999,300x250,Sign up Now - 10% Off,"Miami-Ft. Lauderdale, Florida",cbsnews.com,Index Exchange,Apple PC,13075,74,5980,12114,15,"$1,936.13",$129.08,0.57%,$26.16,$148.08,20.27%,$323.77,49.3643718
US>Demographic>Family>Households with 3 Adults,300x250,10% Discount - Ends 6/1,"San Francisco, California",mail.yahoo.com,Google Ad Manager,Windows PC,32436,56,17531,28429,6,"$1,470.67",$245.11,0.17%,$26.26,$45.34,10.71%,$83.89,61.66590453
Media and Entertainment>Sports and Recreational Activities>Interest (Affinity)>Motorsports,300x250,Subscribe Today - 10% Discount,"Nashville, Tennessee",biblegateway.com,Google Ad Manager,Windows PC,21531,55,15593,18617,6,"$1,470.97",$245.16,0.26%,$26.74,$68.32,10.91%,$94.34,83.75678144
US>Interest Propensities>Activities and Interests>Buying and Selling Homes>Real Estate,300x250,Subscribe Today - 10% Discount,"Miami-Ft. Lauderdale, Florida",the-sun.com,Google Ad Manager,Smartphone,14799,59,1403,13410,9,"$1,693.76",$188.20,0.40%,$28.71,$114.45,15.25%,"$1,207.24",10.46234154
OnAudience>Interest>Education,320x50,Sign up Today - 10% Off,"Miami-Ft. Lauderdale, Florida",politico.com,BidSwitch,Smartphone,20165,60,6601,18909,10,"$1,743.08",$174.31,0.30%,$29.05,$86.44,16.67%,$264.06,34.90930245
Telecommunications (Telco)>Subscribers,320x50,Sign up Today - 10% Off,"Tallahassee, Florida-Thomasville, Georgia",dailydot.com,Google Ad Manager,Smartphone,29393,70,3277,25959,19,"$2,120.76",$111.62,0.24%,$30.30,$72.15,27.14%,$647.16,12.62375284
US>B2B>B2B Decision Maker Responsibilities>Company Liability or Insurance,300x250,10% Discount - Ends 6/1,"Miami-Ft. Lauderdale, Florida",citationmachine.net,Google Ad Manager,Windows PC,31443,70,19134,28059,9,"$2,122.77",$235.86,0.22%,$30.33,$67.51,12.86%,$110.94,68.19202395
Mobile - US>Automotive>Vehicle Ownership>Brand>BMW,320x50,10% Discount - Ends 6/1,"Nashville, Tennessee",uscellular.com,BidSwitch,Smartphone,17561,50,2960,9953,10,"$1,519.90",$151.99,0.28%,$30.40,$86.55,20.00%,$513.48,29.73977695
US Interest>Home>Home Improvement>Home Improvement Grouping,320x50,Subscribe Today - 10% Discount,"Chicago, Illinois",cbsnews.com,Google Ad Manager,Smartphone,21478,50,15548,20651,24,"$1,541.21",$64.22,0.23%,$30.82,$71.76,48.00%,$99.13,75.28933224
Lotame>Technology>Electronics & Gadgets,300x250,10% Discount - Ends 6/1,"Flint-Saginaw-Bay City, Michigan",kbb.com,Google Ad Manager,Apple PC,16236,50,8669,15208,11,"$1,639.81",$149.07,0.31%,$32.80,$101.00,22.00%,$189.16,57.00289321
US Interest>Consumer Electronics,320x50,Sign up Now - 10% Off,"New York City, New York",forbes.com,Google Ad Manager,Smartphone,15441,48,7626,14456,19,"$1,614.31",$84.96,0.31%,$33.63,$104.55,39.58%,$211.68,52.75318207
OnAudience>Intent>Electronics>Video>Televisions,320x50,10% Discount - Ends 6/1,"Los Angeles, California",accuweather.com,OpenX,Smartphone,19826,39,6511,15752,10,"$1,447.87",$144.79,0.20%,$37.12,$73.03,25.64%,$222.37,41.33443372
US>Reach>Propensity Models>Hobbies and Interest>Sports>Canoeing>Kayaking,300x250,Subscribe Today - 10% Discount,"San Francisco, California",thebigmansworld.com,BidSwitch,Smartphone,10653,68,5263,9921,11,"$2,641.48",$240.13,0.64%,$38.85,$247.96,16.18%,$501.90,53.04908779
OnAudience>Intent,320x50,10% Discount - Ends 6/1,"Chicago, Illinois",slickdeals.net,Google Ad Manager,Smartphone,19212,54,6872,14248,10,"$2,133.08",$213.31,0.28%,$39.50,$111.03,18.52%,$310.40,48.23133071
Mobile - US>Device Ownership>Tablets>yes,300x250,Sign up Now - 10% Off,"Knoxville, Tennessee",medicalnewstoday.com,BidSwitch,Apple PC,17645,40,9673,15088,15,"$1,591.77",$106.12,0.23%,$39.79,$90.21,37.50%,$164.56,64.11055143
Travel,300x250,Sign up Today - 10% Off,"Miami-Ft. Lauderdale, Florida",whatismyipaddress.com,BidSwitch,Smartphone,12319,40,7028,10191,7,"$1,668.02",$238.29,0.32%,$41.70,$135.40,17.50%,$237.34,68.96281032
Media and Entertainment>Sports and Recreational Activities>Interest (Affinity)>Olympics,300x250,Subscribe Today - 10% Discount,"Panama City, Florida",nba.com,Google Ad Manager,Smartphone,10883,46,1652,8869,16,"$1,942.48",$121.41,0.42%,$42.23,$178.49,34.78%,"$1,175.84",18.62667719
Mobile - US>Travel>Vacation Rentals>HomeAway,320x50,Sign up Today - 10% Off,"Chattanooga, Tennessee",foxnews.com,Google Ad Manager,Smartphone,91593,40,51004,82985,18,"$1,731.58",$96.20,0.04%,$43.29,$18.91,45.00%,$33.95,61.46170995
"US>Reach>Sociodemographic>Household Income>$50,000-$74,999",320x50,Sign up Now - 10% Off,"South Bend-Elkhart, Indiana",zillow.com,PubMatic,Smartphone,14181,65,7106,13189,17,"$2,912.47",$171.32,0.46%,$44.81,$205.38,26.15%,$409.86,53.87823186
Lotame>Travel>Summer Travel,300x250,Sign up Now - 10% Off,"Tampa-St Petersburg (Sarasota), Florida",ajc.com,Google Ad Manager,Apple PC,16719,35,9944,15714,13,"$1,588.65",$122.20,0.21%,$45.39,$95.02,37.14%,$159.76,63.28115057
US>Brand Propensities>Telecom and Service Providers>Page Plus Cellular Buyer Propensity,320x50,Sign up Today - 10% Off,"Ft. Wayne, Indiana",merriam-webster.com,Yieldmo,Smartphone,12148,40,7950,11360,9,"$1,936.01",$215.11,0.33%,$48.40,$159.37,22.50%,$243.52,69.98239437
Online Behavior>United States>News>Politics,320x50,Sign up Today - 10% Off,"New York City, New York",thesaurus.com,Google Ad Manager,Smartphone,55445,155,4565,53407,36,"$7,948.48",$220.79,0.28%,$51.28,$143.36,23.23%,"$1,741.18",8.547568671
US Home>Property Type>Single,320x50,Subscribe Today - 10% Discount,"New York City, New York",realtor.com,BidSwitch,Smartphone,15318,30,5928,13298,19,"$1,570.30",$82.65,0.20%,$52.34,$102.51,63.33%,$264.89,44.57813205
Online Behavior>United States>Beauty and Fitness>Fashion and Style,320x50,10% Discount - Ends 6/1,"Miami-Ft. Lauderdale, Florida",miamiherald.com,Xandr - Monetize SSP (AppNexus),Smartphone,7320,33,4020,6692,15,"$1,730.37",$115.36,0.45%,$52.44,$236.39,45.45%,$430.44,60.07172744
US>Sociodemographic>P$YCLE Premier Lifestage>M3 Upscale Empty Nests,320x50,Sign up Today - 10% Off,"Miami-Ft. Lauderdale, Florida",historyallday.com,BidSwitch,Smartphone,14379,30,6272,11886,18,"$1,973.56",$109.64,0.21%,$65.79,$137.25,60.00%,$314.66,52.76796231
US Interest>Cooking>General,320x50,Sign up Now - 10% Off,"Chicago, Illinois",ew.com,Xandr - Monetize SSP (AppNexus),Smartphone,9920,20,6702,9096,10,"$1,453.11",$145.31,0.20%,$72.66,$146.48,50.00%,$216.82,73.68073879
US>Reach>Propensity Models>Hobbies and Interest>Food and Drinks>High-end Spirit Drinkers,320x50,Sign up Today - 10% Off,"Chicago, Illinois",cbssports.com,OpenX,Smartphone,20548,40,14259,19654,13,"$3,060.42",$235.42,0.19%,$76.51,$148.94,32.50%,$214.63,72.55011702
US>Sociodemographic>ConneXions Lifestage>F1 Early Adopting Elite,320x50,Sign up Today - 10% Off,"New York City, New York",forbes.com,Google Ad Manager,Smartphone,20899,20,11394,19576,19,"$1,649.46",$86.81,0.10%,$82.47,$78.93,95.00%,$144.77,58.20392317
Online Behavior>United States>Travel>Air Travel,300x250,Sign up Now - 10% Off,"Chicago, Illinois",finance.yahoo.com,Google Ad Manager,Windows PC,27394,74,16144,24752,78,"$7,264.59",$93.14,0.27%,$98.17,$265.19,105.41%,$449.99,65.22301228
Online Behavior>United States>Arts and Entertainment>Arts and Entertainment,320x50,Subscribe Today - 10% Discount,"Orlando-Daytona Beach, Florida",nbcchicago.com,Google Ad Manager,Smartphone,7248,10,3988,6863,7,"$1,247.00",$178.14,0.14%,$124.70,$172.05,70.00%,$312.69,58.10869882
